Feature,KS Statistic,KS P-value,Wasserstein Distance,Jensen-Shannon Divergence,# Features,# Similaires (p > 0.05),# Différentes,PD (%),CB Diff (%),TSTR RF Accuracy,TSTR RF F1-score,TSTR MLP Accuracy,TSTR MLP F1-score,Diversity Gap (%),Vendi Score (real),Vendi Score (synth),Vendi Gap (%),Mean (synth),Variance (synth)
duration,0.04936808580835861,1.0065110484948903e-157,276.80911276150226,0.011532055262311906,,,,,,,,,,,,,,,
protocol_type,0.10524047752109178,0.0,0.12678009924789746,0.036974380075691454,,,,,,,,,,,,,,,
service,0.23216197472343236,0.0,5.8285112142044335,0.49591831328280256,,,,,,,,,,,,,,,
flag,0.1272850919423366,0.0,0.8937832032696595,0.07074526352567768,,,,,,,,,,,,,,,
src_bytes,0.4055899324656437,0.0,40416.424941254525,5.89545987473443e-10,,,,,,,,,,,,,,,
dst_bytes,0.3617969660038918,0.0,17140.40058036876,2.6747002088053993e-11,,,,,,,,,,,,,,,
land,0.01557397469649946,4.481376545506205e-16,0.01557397469649946,0.007295832268342304,,,,,,,,,,,,,,,
wrong_fragment,0.008369412255835984,6.033050231508228e-05,0.021822417635691593,0.004197384338210003,,,,,,,,,,,,,,,
urgent,8.079883111022923e-05,1.0,0.00012119824666534385,4.039361705277931e-05,,,,,,,,,,,,,,,
hot,0.02203788118531891,9.245211353730042e-32,0.19690001817973546,0.011017195286503741,,,,,,,,,,,,,,,
num_failed_logins,0.0020603701933111784,0.91018769380338,0.0023700990459004645,0.001030930572243734,,,,,,,,,,,,,,,
logged_in,0.21446703071028905,0.0,0.21446703071028905,0.041014028423880564,,,,,,,,,,,,,,,
num_compromised,0.010591380111367732,1.1545232117427165e-07,0.2762310038579474,0.00022166870520527507,,,,,,,,,,,,,,,
root_shell,0.0014409124881327173,0.9978122334188771,0.0014409124881327173,0.0006966103919250481,,,,,,,,,,,,,,,
su_attempted,0.0006261909411043876,1.0,0.001097517455914132,0.00031316223762327573,,,,,,,,,,,,,,,
num_root,0.005049926944390215,0.04515470476372363,0.29852474800844964,0.0002181795209305406,,,,,,,,,,,,,,,
num_file_creations,0.002302766686641977,0.8250053420832918,0.012119824666536827,0.0010844269447980947,,,,,,,,,,,,,,,
num_shells,0.00040399415555125717,1.0,0.00045786004295811367,0.0002020227463082479,,,,,,,,,,,,,,,
num_access_files,0.0029693570433014793,0.5283313147754812,0.0041005406788447996,0.0014862086696093577,,,,,,,,,,,,,,,
num_outbound_cmds,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
is_host_login,1.3466471851741879e-05,1.0,1.3466471851741879e-05,6.732444475921385e-06,,,,,,,,,,,,,,,
is_guest_login,0.01014698654026136,4.5392784913612436e-07,0.01014698654026136,0.004884813707086455,,,,,,,,,,,,,,,
count,0.6232013843533064,0.0,48.057825030131234,0.404832420490737,,,,,,,,,,,,,,,
srv_count,0.6017290949857592,0.0,24.304759724475986,0.23568040568852044,,,,,,,,,,,,,,,
serror_rate,0.33908576122598755,0.0,0.018246055223395098,0.018721743238872157,,,,,,,,,,,,,,,
srv_serror_rate,0.2586976575072214,0.0,0.03083120818028067,0.010520061874917727,,,,,,,,,,,,,,,
rerror_rate,0.4475447255196374,0.0,0.12563653474816394,0.07078953166062346,,,,,,,,,,,,,,,
srv_rerror_rate,0.6809456156534268,0.0,0.12653232825084115,0.07007831239365203,,,,,,,,,,,,,,,
same_srv_rate,0.4893042547317815,0.0,0.18957598512103366,0.22108575310407375,,,,,,,,,,,,,,,
diff_srv_rate,0.18825454325094093,0.0,0.051989243249475126,0.13345672091616054,,,,,,,,,,,,,,,
srv_diff_host_rate,0.1957082354208609,0.0,0.06833471424232249,0.08024074690832016,,,,,,,,,,,,,,,
dst_host_count,0.37077910272898057,0.0,63.127588087559,0.20672476174242638,,,,,,,,,,,,,,,
dst_host_srv_count,0.6783600530578991,0.0,101.9468411023654,0.6346316559608749,,,,,,,,,,,,,,,
dst_host_same_srv_rate,0.2604886982634984,0.0,0.06572382262355984,0.34103277416788697,,,,,,,,,,,,,,,
dst_host_diff_srv_rate,0.26841371694822813,0.0,0.054612916208375765,0.3306540304531149,,,,,,,,,,,,,,,
dst_host_same_src_port_rate,0.4019943844812378,0.0,0.2009920606843901,0.1787929671637399,,,,,,,,,,,,,,,
dst_host_srv_diff_host_rate,0.2988479433330864,0.0,0.025710682301072943,0.135527434509559,,,,,,,,,,,,,,,
dst_host_serror_rate,0.5921005676117885,0.0,0.010034998224738637,0.03232990935354555,,,,,,,,,,,,,,,
dst_host_srv_serror_rate,0.4278971430879967,0.0,0.020123776196391746,0.011670200038275945,,,,,,,,,,,,,,,
dst_host_rerror_rate,0.3992606906953412,0.0,0.12208764333660183,0.10346121009971061,,,,,,,,,,,,,,,
dst_host_srv_rerror_rate,0.40674804904489054,0.0,0.12524135550342616,0.07925605795257748,,,,,,,,,,,,,,,
GLOBAL,0.23187655121028275,0.2025988338713961,1416.5905313114356,0.09727722683791612,41.0,9.0,32.0,78.04878048780488,0.0,0.6701005476254601,0.6174323074032085,0.5291543226501482,0.3662211106254691,-94.22886253181991,37.54659109467933,2.893462931896448,-92.29367341338617,13.979714445378693,8573.257117917801
